Feature1,Feature2,Label
-3.5248771703685606,-2.9627136363783935,c
-3.6927070268447753,-1.8844239790412707,c
-3.2382154641218506,-3.2280790502494296,c
3.5234646197407145,4.082009093446883,b
-3.9547005295497746,-2.3453328887281817,c
4.36783686796395,-3.91435582778423,a
5.125089501749118,-3.359931690182882,a
-3.5395998651188845,-3.883501743619717,c
4.663946265341884,3.478703715053246,b
3.7859780099739018,-4.1461621279322545,a
4.980046714126093,3.428288310616039,b
5.50470445971106,-2.827090384479054,a
3.6320003948959663,4.2731586990115495,b
5.275501935457494,-3.5192106180149008,a
-4.152227065797284,-4.013868517571054,c
-4.378194665477565,-6.296792180342317,c
4.1589495857594185,4.115309153812836,b
-3.2655210805441324,-2.407400126071156,c
-3.379963387632035,-1.9124237743133752,c
-3.9653548097439857,-3.2488889577860167,c
4.2061235865735656,-3.9982120956134235,a
4.076287187485978,3.569974403047278,b
-3.574221580352855,-2.8487003770055277,c
3.17045322736043,-4.484558271651032,a
6.666990774181063,-2.4717755428210197,a
4.6886752532072835,2.7574046632435394,b
6.237977593894788,2.0172149733292803,b
-4.275579519415181,-5.17147888574609,c
2.740543620890337,4.559839639915034,b
3.250464844253726,4.109365748787893,b
4.872592140914856,3.8425128967755207,b
4.790756584819595,2.799331576712092,b
4.577833542260957,3.7070776277186934,b
-4.747792490245796,-4.071184104392943,c
2.8732393182075087,-4.690252340829364,a
2.439383322967173,-4.908471697303418,a
3.818218036567295,4.612200059727611,b
3.471292785055744,4.98235834862268,b
2.7744474045063257,-4.778481720578847,a
3.6010341786957323,4.535352502532186,b
3.755945257725254,-4.17235190034929,a
-4.731050268905007,-3.8368424665438803,c
3.071281515059332,-4.561897919340239,a
-4.038164813602892,-3.600291602563251,c
6.774083471784108,-2.7012180859688777,a
5.060920608201879,3.1741218791659715,b
-4.201233294511081,-4.861107280696753,c
6.103089698582016,-2.7665151567638264,a
4.477808143298161,3.4205299081363796,b
-3.8384073834197827,-3.3069417755794803,c
4.199255953093778,3.5298011758785472,b
3.9527544692188306,3.2354895717997723,b
5.602368810991267,2.895273234924407,b
-4.1418049440031846,-4.429906550577735,c
5.16500455502843,-3.3647696246395054,a
4.838533844572007,-3.825089315590629,a
2.8995992577804057,-4.257448319300922,a
-3.6162186247204184,-1.2883347473641176,c
3.1916325716992477,-4.397464849871527,a
-3.9940838722683303,-3.877932705096795,c
3.7841423349400323,-3.881998213245597,a
-3.744208999435915,-4.262766888061902,c
-4.0628996869824725,-3.9221019277299907,c
-3.7725081982316473,-4.3893533579324675,c
2.3562024833187163,5.159842916465153,b
-3.2122805531864955,-3.4500933552539035,c
3.9469988851279236,-4.093823403172841,a
4.182673369698656,3.8788890094771338,b
4.570463276521063,3.788303761587245,b
4.459418265800385,-3.7863509203499404,a
3.7284457286953545,4.357693645755478,b
3.8996471061617695,4.500105799989804,b
5.025209969480381,2.754689757138891,b
4.574241549616929,-3.714525438605286,a
3.4886378202275274,4.187559776927929,b
2.474889354728075,5.18675413796835,b
6.512899394818677,1.8145748434615,b
5.469071412350598,-3.4361874044072107,a
3.109681481932384,-4.3854926869692745,a
2.1529061819127113,-5.335901969861545,a
2.8855184101913567,4.191995683463591,b
2.282050791828424,5.135716174588311,b
-3.338206694372953,-2.8393342584931016,c
3.6583494118338518,4.043053398216261,b
-3.806598264874021,-3.2142398665273384,c
4.313614045226446,3.9197828815688065,b
-3.358477294217481,-4.685861460890448,c
5.039586504361626,3.4020408866572627,b
3.9315024220995696,4.188642068348376,b
5.304900640665805,-3.2090371703386804,a
3.4262323371887526,4.632243088285936,b
4.185770174978505,3.5029732024579365,b
1.4249083678105272,5.857414246294034,b
-3.7969541466360215,-4.008583357118042,c
4.7038047395442755,-3.887407527987226,a
4.029306866375785,3.9754830147029425,b
4.5372489614153215,-3.427222477106714,a
4.394108225874402,3.7883770595382606,b
-3.8218572466317444,-4.568797455698893,c
4.487258357904854,-3.7021484230546897,a
4.81315384015778,-3.492273846387161,a
4.36544473141614,-3.7663775082761326,a
