Feature1,Feature2,Label
-4.460128564790036,-4.1339476976604566,a
5.297500308341464,5.256808605908069,d
-3.5389624776428734,-3.8093376111763626,a
3.7691215199319634,-6.376195427553341,b
-1.6480791336413376,-3.3054054792171224,a
-4.648743184603921,-4.0585066624151835,a
3.8532961815345175,4.131875576457843,d
3.5799513149819964,3.576483907105998,d
2.6556896621457513,2.6871318684290326,d
3.242577292459644,3.0563554244308246,d
2.2158860780120406,2.0223747018322547,d
4.180678340493937,-4.236246977439883,b
3.5265873746245244,3.3461653835991383,d
3.92390003272376,-4.377190146941394,b
5.164633600240614,-3.8786791686740645,b
2.3993616873063424,-2.874291436646791,b
-4.126952386009454,-3.8367587869003907,a
4.6099484959373775,-3.8539868362043075,b
3.558708738047302,-2.855030825499674,b
1.6661798148335203,-3.687455029561162,b
-3.9565415209577712,4.75993299465711,c
3.3149829343559434,3.3756424298379777,d
4.9705617182058655,-4.966928756321867,b
-3.479553458099112,2.959161314557517,c
-4.263463970360068,5.3635170762427595,c
2.72049189492603,2.5841778198798364,d
3.196327097369217,2.7668565042667543,d
-1.9703571231380268,-3.2528925393010986,a
-3.6447783965400546,4.3301372840786625,c
0.4352082212691841,-0.08053385398422108,d
4.938387972296483,-2.579003257152673,b
4.170129493468398,4.358495996556409,d
2.087323217447084,-3.229455667363155,b
-3.2932547227154316,-3.899755982803224,a
-5.760416315820616,-4.561028039293678,a
-4.434708805200953,3.6473060079608643,c
-3.1491316469810084,-3.8097903252279495,a
3.2284519891875947,-1.4583156524780643,b
4.573713514474024,-3.9128022801866504,b
2.9442850019013003,2.913986554551715,d
-2.975046565357023,3.0939899150594554,c
-3.203522648213615,-3.6933433273170824,a
-3.787362050873328,3.4799055578893143,c
-3.9172710357936054,4.71033685119498,c
-4.5542075068935395,3.5852816760089175,c
2.6630123517498037,2.610780409107285,d
-3.388753945687497,-3.9601279732339765,a
-3.446398003249471,-3.9458326583932424,a
-4.47835413480694,5.0926032438463285,c
3.8972031342881257,3.9358775393824064,d
4.917673926089701,-4.031710475453282,b
-3.4523418172551,4.128494585981065,c
4.415125985867182,4.338418569001626,d
3.5445669500931896,3.76685338129991,d
